,full_name,rating,jersey,team,position,b_day,height,weight,salary,country,draft_year,draft_round,draft_peak,college
415,Gary Clark,69,0,Orlando Magic,F,1994-11-16,1.98,102.1,1427191,USA,2018,Undrafted,Undrafted,Cincinnati
416,Terance Mann,69,14,Los Angeles Clippers,G,1996-10-18,1.96,97.5,1000000,USA,2019,2,48,Florida State
417,Cam Reynolds,69,13,Milwaukee Bucks,G,1995-02-07,2.01,102.1,79568,USA,2018,Undrafted,Undrafted,Tulane
419,Miye Oni,69,24,Utah Jazz,F,1997-08-04,1.96,95.3,898310,USA,2019,2,58,Yale
420,Malcolm Miller,69,13,Toronto Raptors,F,1993-03-06,2.01,93.0,1588231,USA,2015,Undrafted,Undrafted,Holy Cross
423,Jordan McRae,68,0,Detroit Pistons,G,1991-03-28,1.96,81.2,1254933,USA,2014,2,58,Tennessee
424,Brandon Goodwin,68,0,Atlanta Hawks,G,1995-10-02,1.83,81.6,522738,USA,2018,Undrafted,Undrafted,Florida Gulf Coast
425,Michael Frazier,68,21,Houston Rockets,G,1994-03-08,1.91,90.7,79568,USA,2015,2,60,Florida
426,Kostas Antetokounmpo,68,37,Los Angeles Lakers,F,1997-11-20,2.08,90.7,79568,Greece,2018,Undrafted,Undrafted,Dayton
428,Duncan Robinson,67,55,Miami Heat,F,1994-04-22,2.01,97.5,1416852,USA,2018,Undrafted,Undrafted,Michigan
