,full_name,rating,jersey,team,position,b_day,height,weight,salary,country,draft_year,draft_round,draft_peak,college
211,Kris Dunn,75,32,Chicago Bulls,G,1994-03-18,1.91,93.0,5348007,USA,2016,1,5,Providence
212,Wayne Ellington,75,2,New York Knicks,G,1987-11-29,1.93,90.7,8000000,USA,2009,1,28,North Carolina
213,Bryn Forbes,75,11,San Antonio Spurs,G,1993-07-23,1.88,84.8,2875000,USA,2016,Undrafted,Undrafted,Michigan State
214,Josh Hart,75,3,New Orleans Pelicans,G,1995-03-06,1.96,92.5,1934160,USA,2017,1,30,Villanova
215,John Henson,75,31,Detroit Pistons,F,1990-12-28,2.06,99.8,9732396,USA,2012,1,14,North Carolina
217,George Hill,75,3,Milwaukee Bucks,G,1986-05-04,1.91,81.6,10133907,USA,2008,1,26,IUPUI
218,Rondae Hollis-Jefferson,75,4,Toronto Raptors,F,1995-01-03,1.98,95.7,2500000,USA,2015,1,23,Arizona
219,Richaun Holmes,75,22,Sacramento Kings,F,1993-10-15,2.08,110.2,4767000,USA,2015,2,37,Bowling Green
220,James Johnson,75,0,Minnesota Timberwolves,F,1987-02-20,2.01,111.1,15349400,USA,2009,1,16,Wake Forest
221,Luke Kennard,75,5,Detroit Pistons,G,1996-06-24,1.96,88.9,3827160,USA,2017,1,12,Duke
222,Kyle Korver,75,26,Milwaukee Bucks,F,1981-03-17,2.01,96.2,6004753,USA,2003,2,51,Creighton
224,Jake Layman,75,10,Minnesota Timberwolves,F,1994-03-07,2.03,94.8,3581986,USA,2016,2,47,Maryland
225,Robin Lopez,75,42,Milwaukee Bucks,C,1988-04-01,2.13,115.7,4767000,USA,2008,1,15,Stanford
226,Trey Lyles,75,41,San Antonio Spurs,F,1995-11-05,2.06,109.3,5500000,Canada,2015,1,12,Kentucky
228,TJ McConnell,75,9,Indiana Pacers,G,1992-03-25,1.85,90.7,3500000,USA,2015,Undrafted,Undrafted,Arizona
229,Patrick Mills,75,8,San Antonio Spurs,G,1988-08-11,1.85,83.9,12678571,Australia,2009,2,55,Saint Mary's
230,Malik Monk,75,1,Charlotte Hornets,G,1998-02-04,1.91,89.4,4028400,USA,2017,1,11,Kentucky
231,Markieff Morris,75,88,Los Angeles Lakers,F,1989-09-02,2.03,111.1,3709887,USA,2011,1,13,Kansas
232,Shabazz Napier,75,0,Washington Wizards,G,1991-07-14,1.83,79.4,1845301,USA,2014,1,24,UConn
235,Mike Scott,75,1,Philadelphia 76ers,F,1988-07-16,2.01,107.5,4767000,USA,2012,2,43,Virginia
236,Noah Vonleh,75,0,Denver Nuggets,F,1995-08-24,2.08,112.0,2000000,USA,2014,1,9,Indiana
239,Kyle Anderson,74,1,Memphis Grizzlies,F,1993-09-20,2.06,104.3,9073050,USA,2014,1,30,UCLA
240,Jordan Bell,74,0,Cleveland Cavaliers,F-C,1995-01-07,2.03,101.6,1870564,USA,2017,2,38,Oregon
241,Khem Birch,74,24,Orlando Magic,C,1992-09-28,2.06,94.8,3000000,Canada,2014,Undrafted,Undrafted,UNLV
242,Dillon Brooks,74,24,Memphis Grizzlies,G-F,1996-01-22,2.01,102.1,1618520,Canada,2017,2,45,Oregon
